,Target
2,1
6,0
11,0
13,0
14,0
16,0
18,0
19,0
25,0
30,0
33,0
34,0
39,0
50,0
52,1
54,0
58,0
60,0
61,0
65,0
71,0
72,0
73,0
74,0
80,0
82,0
83,0
85,0
86,0
87,0
92,0
94,0
100,0
102,0
104,0
106,0
107,0
108,0
109,0
112,1
114,0
121,0
122,0
123,0
125,0
126,0
127,0
130,0
131,0
132,0
134,0
138,0
142,0
143,0
147,0
149,0
161,0
163,0
164,0
169,0
177,0
178,0
179,0
180,0
181,0
184,0
186,0
191,0
193,0
195,1
197,0
200,0
202,0
203,0
204,0
206,0
208,0
216,0
217,0
220,0
222,1
223,0
225,0
226,0
227,0
230,0
231,0
234,0
235,0
236,0
239,0
240,0
241,0
243,1
244,0
246,0
249,1
250,0
254,0
258,0
259,0
261,1
263,0
264,0
266,0
269,0
270,0
274,0
275,0
279,1
280,0
281,1
282,0
284,1
290,0
295,0
301,0
305,0
307,0
309,0
311,1
320,0
326,0
327,0
328,0
330,1
332,0
340,0
342,0
343,0
344,0
345,0
346,0
348,0
352,0
354,0
357,0
358,0
364,0
365,0
367,0
370,0
372,0
376,0
377,0
380,1
381,0
383,1
385,0
389,0
398,0
401,0
402,0
403,0
406,0
408,0
409,0
410,0
414,0
418,0
420,1
421,0
423,0
424,0
427,0
429,0
431,0
432,0
435,0
436,0
438,0
440,0
441,0
442,0
443,0
445,0
446,0
448,0
449,0
454,0
455,0
458,0
459,0
460,0
461,0
462,0
463,0
464,1
465,0
468,0
469,0
470,1
471,0
473,0
475,1
476,1
478,0
479,1
482,0
484,0
489,0
490,0
493,0
494,0
499,0
500,0
501,0
502,0
504,0
505,0
506,0
509,0
512,0
513,0
514,0
515,0
516,0
521,0
522,0
527,0
528,0
532,0
533,0
534,0
535,0
536,0
537,1
538,0
539,0
545,0
550,0
552,0
555,0
568,0
569,0
572,0
573,0
574,0
576,0
577,0
578,0
582,0
584,0
585,1
587,0
592,0
595,0
596,0
601,1
602,0
605,0
607,1
608,0
611,0
613,0
614,0
615,0
618,0
619,0
621,0
622,0
623,0
625,0
626,0
627,0
628,1
629,0
630,0
633,0
635,0
